date,naaim
2006-07-31,22.903240740740742
2006-08-31,42.40851190476191
2006-09-30,55.77142857142857
2006-10-31,73.59
2006-11-30,80.42137577639753
2006-12-31,86.4534432958346
2007-01-31,79.43357607304975
2007-02-28,81.02651515151516
2007-03-31,45.672487604881766
2007-04-30,58.63494505494506
2007-05-31,81.38409090909092
2007-06-30,61.59284050179211
2007-07-31,58.292604472140766
2007-08-31,28.02891414141414
2007-09-30,56.76009012539185
2007-10-31,72.64552647352647
2007-11-30,63.72592338217338
2007-12-31,68.51492673992675
2008-01-31,40.69214983484433
2008-02-29,23.463955026455025
2008-03-31,38.57835129310345
2008-04-30,49.530442612942615
2008-05-31,67.02537361969411
2008-06-30,42.70829920829921
2008-07-31,13.329013084513084
2008-08-31,30.341644471056238
2008-09-30,23.35879719004719
2008-10-31,9.932898302667237
2008-11-30,11.512700534759357
2008-12-31,14.844073973675492
2009-01-31,23.872549019607845
2009-02-28,20.317192823075175
2009-03-31,16.02405462184874
2009-04-30,30.838644509612255
2009-05-31,45.18926805496125
2009-06-30,48.5423344017094
2009-07-31,30.94230380112733
2009-08-31,51.74770935708436
2009-09-30,70.56365265558813
2009-10-31,73.68712620183209
2009-11-30,66.69544807865675
2009-12-31,72.42816283478048
2010-01-31,67.3404365904366
2010-02-28,34.000596333491075
2010-03-31,68.61885051270251
2010-04-30,82.1701926384589
2010-05-31,47.83262570762571
2010-06-30,36.50517374517374
2010-07-31,39.717284688995214
2010-08-31,53.45254464991307
2010-09-30,53.38206869971576
2010-10-31,68.34487009330759
2010-11-30,68.5460353372118
2010-12-31,72.47163926716559
2011-01-31,75.59987697781816
2011-02-28,80.06487127371274
2011-03-31,61.80220483641536
2011-04-30,81.56860152043079
2011-05-31,69.53215303388784
2011-06-30,36.57036004645761
2011-07-31,58.33081265508685
2011-08-31,25.083108490425566
2011-09-30,21.04193376068376
2011-10-31,13.96837131954829
2011-11-30,41.654080094466934
2011-12-31,37.669880807200926
2012-01-31,50.32779009608278
2012-02-29,72.64746119733925
2012-03-31,67.44258723732408
2012-04-30,54.04750599617323
2012-05-31,49.40746666666667
2012-06-30,47.53158011583012
2012-07-31,66.8127411965275
2012-08-31,73.38341943761944
2012-09-30,75.33882089285315
2012-10-31,69.09928949579833
2012-11-30,61.140554873054874
2012-12-31,81.72677476737822
2013-01-31,86.91079768270944
2013-02-28,89.4366702439291
2013-03-31,83.9040987460815
2013-04-30,72.3730270398482
2013-05-31,80.63235912572915
2013-06-30,49.805211789554534
2013-07-31,62.05328861464005
2013-08-31,56.80941008882185
2013-09-30,62.98907407407407
2013-10-31,76.68052408139366
2013-11-30,88.58786223036223
2013-12-31,97.18320663786696
2014-01-31,90.04308921974084
2014-02-28,72.95003495642288
2014-03-31,84.59968685602033
2014-04-30,82.35258272378962
2014-05-31,73.68562144381224
2014-06-30,88.72839408263306
2014-07-31,82.8450818200451
2014-08-31,59.273554639804644
2014-09-30,68.23850627049157
2014-10-31,40.06154628442484
2014-11-30,80.48932003598026
2014-12-31,85.3295897229162
2015-01-31,84.96856319853688
2015-02-28,89.83364195261437
2015-03-31,80.71727160493828
2015-04-30,83.14770323878103
2015-05-31,68.44801269170608
2015-06-30,64.34351095545976
2015-07-31,53.03308937728938
2015-08-31,45.26023560780617
2015-09-30,23.83685690449706
2015-10-31,43.736528637390705
2015-11-30,66.6644827586207
2015-12-31,60.33638231899008
2016-01-31,42.33443209876543
2016-02-29,31.99634970661111
2016-03-31,59.13848082341441
2016-04-30,73.4665614652689
2016-05-31,60.51022671568627
2016-06-30,72.71266715443383
2016-07-31,88.90354198530775
2016-08-31,94.12157380254155
2016-09-30,80.8089417989418
2016-10-31,73.79759353796504
2016-11-30,79.80970568783069
2016-12-31,99.93983279651383
2017-01-31,95.52214240102171
2017-02-28,96.75031956609118
2017-03-31,81.37921261337382
2017-04-30,79.06708058406647
2017-05-31,93.09652417736345
2017-06-30,93.90833709633279
2017-07-31,91.63885268467165
2017-08-31,86.39521854204477
2017-09-30,98.61197916666667
2017-10-31,97.9453869047619
2017-11-30,86.90510991906645
2017-12-31,102.13270259330042
2018-01-31,89.18586124401914
2018-02-28,71.255
2018-03-31,71.00999999999999
2018-04-30,65.6325
2018-05-31,74.8
2018-06-30,92.465
2018-07-31,82.97749999999999
2018-08-31,85.414
2018-09-30,87.4625
2018-10-31,63.614
2018-11-30,45.9625
2018-12-31,49.255
2019-01-31,70.182
2019-02-28,80.64750000000001
2019-03-31,72.81
2019-04-30,91.655
2019-05-31,74.88
2019-06-30,69.11
2019-07-31,87.142
2019-08-31,61.21
2019-09-30,68.4625
2019-10-31,65.28
2019-11-30,79.85
2019-12-31,88.2125
2020-01-31,88.288
2020-02-29,75.3775
2020-03-31,20.535
2020-04-30,40.602
2020-05-31,67.6325
2020-06-30,83.475
2020-07-31,88.482
2020-08-31,100.61
2020-09-30,64.13
2020-10-31,85.23
2020-11-30,94.6625
2020-12-31,96.566
2021-01-31,99.42750000000001
2021-02-28,95.685
2021-03-31,60.416
2021-04-30,96.435
2021-05-31,61.79
2021-06-30,84.604
2021-07-31,81.31
2021-08-31,89.66749999999999
2021-09-30,79.674
2021-10-31,83.60749999999999
2021-11-30,104.34
2021-12-31,72.45599999999999
2022-01-31,68.61
2022-02-28,56.809999999999995
2022-03-31,50.394
2022-04-30,66.75
2022-05-31,27.1925
2022-06-30,33.406
2022-07-31,36.57
2022-08-31,55.705999999999996
2022-09-30,25.8475
2022-10-31,38.785
2022-11-30,59.63199999999999
2022-12-31,52.53
2023-01-31,56.099999999999994
2023-02-28,75.5725
2023-03-31,53.56
2023-04-30,65.1675
2023-05-31,62.132000000000005
2023-06-30,82.815
2023-07-31,94.33
2023-08-31,59.874
2023-09-30,51.262499999999996
2023-10-31,43.375
2023-11-30,64.464
2023-12-31,88.5225
2024-01-31,75.232
2024-02-29,88.25999999999999
2024-03-31,98.96
2024-04-30,72.155
2024-05-31,85.886
2024-06-30,81.4125
2024-07-31,89.214
2024-08-31,71.98
2024-09-30,79.17
2024-10-31,84.10600000000001
2024-11-30,92.5425
2024-12-31,86.905
2025-01-31,70.80999999999999
2025-02-28,84.97
2025-03-31,66.4875
2025-04-30,48.416
2025-05-31,80.225
2025-06-30,84.945
2025-07-31,85.438
2025-08-31,93.2525
2025-09-30,84.6725
2025-10-31,88.256
2025-11-30,88.6025
2025-12-31,96.88199999999999
2026-01-31,93.6925
2026-02-28,80.83500000000001
2026-03-31,68.75999999999999
2026-04-30,81.034
2026-05-31,88.605
2026-06-30,86.30666666666666
